MatchId,market_normalised,Player,Option,legs,first_price,last_price,fixture,kickoff,turnover_within,currencies,currency,distinct_uids,turnover_is_mixed_currency,implied_prob_move,direction,is_sharp_move
33890305,Match fouls,Faltas durante el partido,28 or more,9,2.31,1.71,Ivory Coast - Ecuador,2026-06-14 23:03:23,,2,,9,True,0.35087719298245607,steamer,True
36966638,Player to score in both halves (Star Substitute),Jugador en meter gol en el 1º y 2º tiempo (Suplente Estrella),Harry Kane,7,5.4,4.0,England - Ghana,2026-06-23 20:00:08,95.97,1,EUR,7,False,0.3500000000000001,steamer,True
36966609,Team corners,Corners equipo,Austria 5 or more,5,4.33,3.21,Argentina - Austria,2026-06-22 17:00:58,9.2,1,EUR,5,False,0.34890965732087226,steamer,True
36966469,Shots (Star Substitute),Remates Mbekezeli Mbokazi (Suplente Estrella),1 or more,6,2.21,1.64,Czech Republic - South Africa,2026-06-18 16:00:09,89.83,1,EUR,5,False,0.3475609756097561,steamer,True
36024518,Team corners,Corners equipo,Norway 8 or more,12,2.57,1.91,Iraq - Norway,2026-06-16 22:00:57,,2,,9,True,0.34554973821989526,steamer,True
36971426,Shots on target (Star Substitute),Remates a puerta Arda Güler (Suplente Estrella),2 or more,58,3.77,2.81,Turkey - Paraguay,2026-06-20 03:00:03,,2,,17,True,0.34163701067615654,steamer,True
36966466,Match shots on target,Remates a puerta durante el partido,10 or more,5,3.15,2.35,Mexico - South Korea,2026-06-19 01:00:38,42.44,1,EUR,5,False,0.3404255319148937,steamer,True
36966528,Team shots on target,Remates a puerta equipo,Tunisia 3 or more,5,2.05,1.53,Tunisia - Japan,2026-06-21 04:00:01,317.44,1,EUR,5,False,0.33986928104575154,steamer,True
36024518,Match fouls,Faltas durante el partido,23 or more,11,2.41,1.8,Iraq - Norway,2026-06-16 22:00:57,,2,,5,True,0.3388888888888891,steamer,True
33890220,Player most passes (voiding in case of tie),Jugador en dar más pases,Davinson Sánchez,37,5.15,3.86,Uzbekistan - Colombia,2026-06-18 02:00:00,178.72,1,EUR,5,False,0.33419689119171003,steamer,True
33890238,Saves (Star Substitute),Paradas Ronwen Hayden Williams (Suplente Estrella),5 or more,18,3.28,2.46,Mexico - South Africa,2026-06-11 19:05:51,251.0,1,EUR,17,False,0.3333333333333333,steamer,True
36966550,1-X-2 / 2 goals Up,1-X-2 / Ventaja 2 goles,2,12,20.0,15.0,Ecuador - Curaçao,2026-06-21 00:00:04,203.85,1,EUR,10,False,0.33333333333333326,steamer,True
33890290,1st half: Team corners,1º tiempo: Corners equipo,Scotland 6 or more,5,13.0,9.75,Haiti - Scotland,2026-06-14 01:02:33,,2,,5,True,0.3333333333333332,steamer,True
33890306,1st half: Team corners,1º tiempo: Corners equipo,Germany 7 or more,8,4.69,3.52,Germany - Curaçao,2026-06-14 17:01:45,85.14,1,EUR,8,False,0.3323863636363638,steamer,True
33890220,Player most passes (voiding in case of tie),Jugador en dar más pases,Jhon Lucumi,40,5.65,4.25,Uzbekistan - Colombia,2026-06-18 02:00:00,166.73000000000002,1,EUR,5,False,0.32941176470588235,steamer,True
36966469,Shots on target outside the box (Star Substitute),Remates a puerta desde fuera del área Mbekezeli Mbokazi (Suplente Estrella),1 or more,5,11.1,8.35,Czech Republic - South Africa,2026-06-18 16:00:09,67.0,1,EUR,5,False,0.32934131736526934,steamer,True
36971426,Team corners,Corners equipo,Paraguay 4 or more,14,2.14,1.61,Turkey - Paraguay,2026-06-20 03:00:03,,2,,13,True,0.32919254658385083,steamer,True
36966485,Team corners,Corners equipo,Haiti 3 or more,32,3.08,2.32,Brazil - Haiti,2026-06-20 00:32:31,,2,,28,True,0.3275862068965518,steamer,True
33890416,Shots on target outside the box (Star Substitute),Remates a puerta desde fuera del área Michael Olise (Suplente Estrella),2 or more,7,6.15,4.64,France - Senegal,2026-06-16 19:02:47,93.5,1,EUR,7,False,0.32543103448275873,steamer,True
36966591,Player to score in 1st half,Jugador en meter gol en el 1º tiempo,Lamine Yamal,8,4.2,3.18,Spain - Saudi Arabia,2026-06-21 16:00:48,,2,,8,True,0.3207547169811321,steamer,True
36966640,Home-side combo (bet builder),Portugal,Portugal to win both halves y Over 3.5 goals,6,3.92,2.97,Portugal - Uzbekistan,2026-06-23 17:00:06,23.43,1,EUR,6,False,0.3198653198653197,steamer,True
36966640,Team corners,Corners equipo,Portugal 6 or more,21,1.58,1.2,Portugal - Uzbekistan,2026-06-23 17:00:06,,2,,18,True,0.3166666666666669,steamer,True
36966609,Match shots,Remates durante el partido,24 or more,13,2.25,1.71,Argentina - Austria,2026-06-22 17:00:58,381.12,1,EUR,4,False,0.3157894736842105,steamer,True
36024492,Match throw-ins,Saques de banda durante el partido,42 or more,10,2.38,1.81,Australia - Turkey,2026-06-14 04:00:30,,2,,4,True,0.3149171270718233,steamer,True
33890290,Team corners,Corners equipo,Scotland 7 or more,9,2.62,2.0,Haiti - Scotland,2026-06-14 01:02:33,60.74,1,EUR,7,False,0.3100000000000001,steamer,True
36024518,Match corners,Corners durante el partido,14 or more,15,5.6,4.28,Iraq - Norway,2026-06-16 22:00:57,,2,,12,True,0.308411214953271,steamer,True
36966592,Team corners,Corners equipo,New Zealand 3 or more,6,1.57,1.2,New Zealand - Egypt,2026-06-22 01:00:05,,2,,6,True,0.30833333333333346,steamer,True
33890291,To score 2 or more goals (Star Substitute),Marcar 2 goles o más (Suplente Estrella),Raphinha,37,17.0,13.0,Brazil - Morocco,2026-06-13 22:04:18,,2,,30,True,0.30769230769230776,steamer,True
36024520,Saves (Star Substitute),Paradas Lionel Nzau Mpasi (Suplente Estrella),4 or more,7,2.0,1.53,Portugal - Democratic Republic of the Congo,2026-06-17 17:01:15,,2,,7,True,0.30718954248366015,steamer,True
37214947,To score or assist (Star Substitute),Marcar gol o asistir (Suplente Estrella),Oyarzabal,7,1.96,1.5,Spain - Peru,2026-06-09 02:00:00,,2,,2,True,0.3066666666666666,steamer,True
36966640,Team corners,Corners equipo,Portugal 9 or more,52,3.03,2.32,Portugal - Uzbekistan,2026-06-23 17:00:06,281.0,1,EUR,3,False,0.3060344827586208,steamer,True
36024520,Shots on target (Star Substitute),Remates a puerta Cristiano Ronaldo (Suplente Estrella),2 or more,82,2.14,1.64,Portugal - Democratic Republic of the Congo,2026-06-17 17:01:15,,3,,73,True,0.3048780487804878,steamer,True
33890298,Team goal kicks,Saques de puerta equipo,New Zealand 8 or more,5,1.97,1.51,Iran - New Zealand,2026-06-16 01:03:48,,2,,2,True,0.30463576158940414,steamer,True
36024518,Team shots on target,Remates a puerta equipo,Norway 6 or more,13,1.76,1.35,Iraq - Norway,2026-06-16 22:00:57,,3,,13,True,0.30370370370370353,steamer,True
33890313,Player to score in fisrt ten minutes (from 0:00 to 9:59),Jugador en meter gol en los 10 primeros minutos (del 0:00 al 9:59),Gavi,6,26.0,20.0,Spain - Cape Verde,2026-06-15 16:01:07,19.65,1,EUR,6,False,0.3,steamer,True
36966592,Team corners,Corners equipo,New Zealand 5 or more,11,3.43,2.64,New Zealand - Egypt,2026-06-22 01:00:05,,2,,7,True,0.2992424242424244,steamer,True
36966609,Team tackles,Entradas ganadas (tackles) equipo,Austria 17 or more,6,2.61,2.01,Argentina - Austria,2026-06-22 17:00:58,2161.0,1,PEN,3,False,0.2985074626865673,steamer,True
